"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"NXT";"NXT";"J1";"6 Pin RJ-12 Connector for Lego Mindstorms NXT";"";
"2";"";"PINHD-1X2";"1X02";"JP2, JP3";"PIN HEADER";"";
"5";"100";"R-EU_M0805";"M0805";"R4, R5, R6, R7, R8";"RESISTOR, European symbol";"";
"2";"100n";"C-EUC2012";"C2012";"C4, C5";"CAPACITOR, European symbol";"";
"1";"10k";"R-EU_M0805";"M0805";"R3";"RESISTOR, European symbol";"";
"2";"18k";"R-EU_M0805";"M0805";"R11, R12";"RESISTOR, European symbol";"";
"2";"1k";"R-EU_M0805";"M0805";"R9, R10";"RESISTOR, European symbol";"";
"6";"3,3k";"R-EU_M0805";"M0805";"R13, R14, R15, R16, R17, R18";"RESISTOR, European symbol";"";
"1";"470p";"C-EUC2012";"C2012";"C3";"CAPACITOR, European symbol";"";
"2";"82k";"R-EU_M0805";"M0805";"R1, R2";"RESISTOR, European symbol";"";
"1";"AVR-ISP-6VERT";"AVR-ISP-6VERT";"AVR-ISP-6";"JP1";"AVR ISP-6 Serial Programming Header";"";
"2";"BC817";"BC846";"SOT23";"T1, T2";"NPN TRANSISTOR";"";
"5";"LTW-216TS5";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1, LED2, LED3, LED4, LED5";"LED";"";
"5";"TCS34725FN";"TCS3472FN";"DFN-6";"IC1, IC2, IC3, IC4, IC5";"The TAOS inc. TCS3472 device provides a digital return of red, green, blue (RGB), and clear light sensing values. An IR";"";
"1";"TINY26S";"TINY26S";"SO20L$";"U$1";"Atmel Tiny26/261/461/861";"";
"1";"TS520533";"TS520533";"SOT25";"IC7";"150mA Low Noise LDO Voltage Regulator with Enable";"";
